date,open,high,low,close,volume
2024-07-17,2970.808,2972.795,2957.948,2962.855,28230799100
2024-07-18,2951.143,2978.092,2937.905,2977.133,27802266500
2024-07-19,2963.514,2986.243,2955.12,2982.309,28093241300
2024-07-22,2978.193,2978.601,2946.561,2964.216,27874955900
2024-07-23,2960.5,2960.5,2915.368,2915.369,29629599400
2024-07-24,2909.152,2922.03,2894.289,2901.952,30611885300
2024-07-25,2891.892,2897.767,2872.85,2886.742,27463950000
2024-07-26,2885.995,2899.116,2875.396,2890.897,27838753600
2024-07-29,2889.473,2898.951,2878.583,2891.845,25689972700
2024-07-30,2885.215,2885.215,2865.149,2879.3,26247883700
2024-07-31,2877.541,2940.593,2876.301,2938.749,41272341700
2024-08-01,2940.12,2947.877,2928.826,2932.387,34662113700
2024-08-02,2913.02,2931.259,2902.72,2905.338,31220503900
2024-08-05,2889.363,2919.025,2860.698,2860.698,35554057200
2024-08-06,2878.651,2888.201,2845.335,2867.284,29730080300
2024-08-07,2864.01,2886.942,2857.725,2869.834,26309715000
2024-08-08,2864.758,2886.399,2850.875,2869.901,28912863200
2024-08-09,2879.873,2887.849,2862.194,2862.194,28425391600
2024-08-12,2858.895,2869.269,2851.295,2858.205,24424137100
2024-08-13,2860.41,2867.946,2845.31,2867.946,23167460100
2024-08-14,2866.243,2866.243,2850.401,2850.654,21788517000
2024-08-15,2844.201,2889.087,2839.388,2877.358,27190000000
2024-08-16,2877.94,2888.675,2873.06,2879.43,26365344100
2024-08-19,2877.954,2905.155,2877.771,2893.674,26168773000
2024-08-20,2895.551,2896.519,2855.329,2866.661,26365800200
2024-08-21,2858.939,2863.891,2848.151,2856.584,22920002700
2024-08-22,2856.2,2861.607,2845.502,2848.772,24539941500
2024-08-23,2844.77,2860.733,2839.337,2854.368,22669256500
2024-08-26,2855.474,2860.655,2844.383,2855.52,22735152300
2024-08-27,2850.877,2853.78,2843.158,2848.731,23069300600
2024-08-28,2844.327,2852.562,2830.962,2837.429,22873062300
2024-08-29,2829.451,2831.431,2815.383,2823.106,27751053400
2024-08-30,2819.65,2867.965,2817.014,2842.214,39751697500
2024-09-02,2832.35,2839.278,2810.374,2811.035,34071419300
2024-09-03,2809.173,2814.903,2794.911,2802.979,27573613900
2024-09-04,2786.505,2800.607,2781.935,2784.278,25745350000
2024-09-05,2785.264,2796.019,2777.471,2788.314,24204094800
2024-09-06,2791.765,2804.093,2765.639,2765.807,25364537500
2024-09-09,2754.724,2756.556,2726.967,2736.488,26146884700
2024-09-10,2737.881,2750.118,2718.627,2744.192,26215901500
2024-09-11,2732.731,2732.731,2710.621,2721.795,24226490000
2024-09-12,2722.138,2734.683,2716.555,2717.123,24008431500
2024-09-13,2718.986,2728.78,2703.369,2704.09,25127003800
2024-09-18,2705.345,2724.114,2689.695,2717.281,24781713200
2024-09-19,2723.205,2747.74,2697.776,2736.022,31520838900
2024-09-20,2734.228,2741.155,2717.945,2736.814,28564462700
2024-09-23,2735.39,2760.48,2731.357,2748.918,25764215400
2024-09-24,2770.754,2863.152,2761.372,2863.126,47761954500
2024-09-25,2901.419,2952.451,2889.048,2896.306,56825981600
2024-09-26,2893.745,3000.953,2889.014,3000.953,57631926100
2024-09-27,3049.103,3087.529,3017.445,3087.529,49228716300
2024-09-30,3194.722,3358.588,3153.697,3336.497,110233791700
2024-10-08,3674.405,3674.405,3372.187,3489.775,131346019500
2024-10-09,3427.22,3437.157,3249.159,3258.858,99275725600
2024-10-10,3277.692,3379.805,3228.125,3301.926,83450025700
2024-10-11,3287.873,3297.752,3187.988,3217.738,60602743300
2024-10-14,3241.428,3294.62,3203.901,3284.323,63146685900
2024-10-15,3265.746,3285.215,3201.292,3201.292,56605455800
2024-10-16,3169.169,3236.848,3167.736,3202.948,51581399700
2024-10-17,3220.733,3241.568,3169.384,3169.384,52861177200
2024-10-18,3165.975,3313.978,3152.821,3261.563,69301462300
2024-10-21,3276.06,3300.664,3239.097,3268.11,66815029900
2024-10-22,3263.822,3294.961,3255.138,3285.867,57491378100
2024-10-23,3285.247,3331.082,3277.066,3302.803,65044412800
2024-10-24,3287.824,3292.945,3266.882,3280.263,51982707400
2024-10-25,3280.762,3319.357,3276.13,3299.7,59565170700
2024-10-28,3300.463,3322.198,3279.715,3322.198,67237313100
2024-10-29,3328.089,3340.458,3284.211,3286.407,72532615400
2024-10-30,3273.642,3291.68,3244.806,3266.238,66901809000
2024-10-31,3267.975,3295.742,3252.39,3279.824,78464909400
2024-11-01,3275.577,3305.318,3258.735,3272.014,85205532000
2024-11-04,3275.679,3310.207,3263.842,3310.207,66507745400
2024-11-05,3306.81,3386.987,3302.047,3386.987,82112490200
2024-11-06,3395.222,3420.999,3367.081,3383.806,89585593000
2024-11-07,3359.985,3470.661,3356.258,3470.661,95955668000
2024-11-08,3502.133,3509.818,3443.193,3452.297,96403456200
2024-11-11,3432.367,3471.122,3416.727,3470.066,81802543600
2024-11-12,3469.891,3489.424,3402.042,3421.97,81792652400
2024-11-13,3406.916,3442.298,3404.525,3439.278,67366234800
2024-11-14,3429.505,3441.775,3376.153,3379.839,63155669000
2024-11-15,3369.809,3391.32,3330.726,3330.726,63028558300
2024-11-18,3344.69,3386.903,3309.008,3323.849,74395069200
2024-11-19,3324.883,3346.758,3284.133,3346.01,62502415100
2024-11-20,3337.678,3375.248,3333.002,3367.989,56615428900
2024-11-21,3362.944,3378.518,3348.855,3370.404,53033183000
2024-11-22,3368.043,3372.003,3267.192,3267.192,63068779000
2024-11-25,3274.884,3285.456,3232.918,3263.76,53889739000
2024-11-26,3256.858,3285.328,3252.866,3259.757,47221930400
2024-11-27,3250.591,3309.881,3227.355,3309.779,51120230300
2024-11-28,3308.28,3319.256,3290.364,3295.698,51195304700
2024-11-29,3295.21,3357.501,3293.69,3326.456,58022710200
2024-12-02,3328.482,3369.303,3323.009,3363.982,66847776200
2024-12-03,3366.285,3386.618,3348.374,3378.806,66303013900
2024-12-04,3376.572,3388.024,3352.943,3364.65,62102886200
2024-12-05,3353.057,3377.055,3353.057,3368.855,54388574600
2024-12-06,3370.941,3418.261,3364.206,3404.076,69818657200
2024-12-09,3402.629,3426.645,3385.959,3402.534,69490520500
2024-12-10,3490.289,3494.867,3417.765,3422.661,79466803400
2024-12-11,3416.087,3437.81,3416.087,3432.49,68154461000
2024-12-12,3432.279,3464.116,3425.976,3461.5,70009668900
2024-12-13,3442.926,3442.926,3390.754,3391.878,77746414400
2024-12-16,3390.083,3401.926,3376.536,3386.331,62557899600
2024-12-17,3381.814,3396.207,3357.769,3361.485,56894150500
2024-12-18,3371.296,3396.46,3371.296,3382.208,51252497900
2024-12-19,3355.904,3377.532,3346.469,3370.033,51390906300
2024-12-20,3364.481,3390.618,3362.819,3368.069,49096462100
2024-12-23,3367.904,3384.992,3348.277,3351.257,55674724800
2024-12-24,3353.535,3394.904,3352.947,3393.528,47199267300
2024-12-25,3395.107,3406.213,3374.011,3393.35,47131559200
2024-12-26,3389.338,3401.095,3380.255,3398.077,42217727100
2024-12-27,3397.294,3418.952,3388.322,3400.142,50048813000
2024-12-30,3395.396,3412.841,3394.965,3407.326,45526238300
2024-12-31,3406.965,3413.455,3351.763,3351.763,50273106200
2025-01-02,3347.939,3351.722,3242.087,3262.561,56137519900
2025-01-03,3267.077,3273.566,3205.776,3211.43,51759201400
2025-01-06,3209.783,3219.488,3185.463,3206.923,43097840300
2025-01-07,3203.307,3230.853,3190.461,3229.644,40966052900
2025-01-08,3218.858,3246.291,3175.725,3230.168,47286439000
2025-01-09,3220.721,3228.973,3205.91,3211.393,38294355700
2025-01-10,3211.707,3220.107,3168.524,3168.524,40366334800
2025-01-13,3148.826,3172.7,3140.978,3160.755,37274202300
2025-01-14,3165.161,3245.22,3159.432,3240.94,46921270400
2025-01-15,3234.715,3245.904,3222.236,3227.117,40472319900
2025-01-16,3239.026,3265.282,3217.097,3236.032,43065553900
2025-01-17,3226.762,3256.507,3219.773,3241.821,38359926000
2025-01-20,3256.149,3268.263,3238.121,3244.378,40333794800
2025-01-21,3256.833,3258.61,3229.069,3242.623,38458371800
2025-01-22,3235.493,3235.501,3203.38,3213.624,36481751800
2025-01-23,3237.599,3273.52,3229.572,3230.164,45824680300
2025-01-24,3222.877,3260.011,3221.712,3252.626,39865303300
2025-01-27,3256.614,3274.392,3250.601,3250.601,38746764200
2025-02-05,3270.16,3271.022,3220.279,3229.488,40638818100
2025-02-06,3226.575,3271.427,3225.846,3270.659,46084273000
2025-02-07,3269.227,3324.428,3262.509,3303.667,60055845100
2025-02-10,3308.04,3325.356,3299.243,3322.17,54658974900
2025-02-11,3323.669,3324.173,3304.444,3318.057,51194354100
2025-02-12,3312.257,3346.385,3310.39,3346.385,51343782800
2025-02-13,3343.235,3359.181,3332.483,3332.483,56863116100
2025-02-14,3328.483,3349.084,3322.529,3346.724,53233296500
2025-02-17,3355.417,3357.121,3333.195,3355.83,58954656900
2025-02-18,3348.983,3366.012,3314.301,3324.491,56267924000
2025-02-19,3320.78,3352.087,3320.581,3351.539,50291296500
2025-02-20,3347.589,3355.557,3338.034,3350.783,50435711400
2025-02-21,3356.695,3381.058,3339.026,3379.113,60819020600
2025-02-24,3374.081,3384.811,3355.869,3373.028,59818820300
2025-02-25,3345.653,3369.558,3337.845,3346.04,52757856200
2025-02-26,3351.209,3380.214,3351.209,3380.214,55399203100
2025-02-27,3378.449,3388.781,3353.571,3388.062,57581502000
2025-02-28,3374.664,3383.191,3318.716,3320.897,56831950400
2025-03-03,3328.396,3349.017,3304.593,3316.925,50241786200
2025-03-04,3300.498,3327.824,3297.53,3324.21,42999611100
2025-03-05,3324.696,3342.714,3314.148,3341.965,46095269600
2025-03-06,3353.57,3387.054,3348.684,3381.098,53999270900
2025-03-07,3373.181,3390.944,3363.929,3372.546,51766355100
2025-03-10,3373.259,3375.798,3347.186,3366.163,45038083200
2025-03-11,3335.439,3379.829,3334.831,3379.828,44846832300
2025-03-12,3385.685,3392.409,3370.22,3371.924,50219510000
2025-03-13,3371.095,3377.118,3341.118,3358.729,51901347900
2025-03-14,3361.686,3421.233,3360.606,3419.562,58266338800
2025-03-17,3430.809,3436.352,3422.462,3426.129,51568513800
2025-03-18,3434.565,3437.065,3423.301,3429.759,45491606300
2025-03-19,3424.173,3439.046,3414.593,3426.429,44031629900
2025-03-20,3425.216,3427.045,3404.662,3408.948,45163068200
2025-03-21,3401.759,3414.709,3355.84,3364.831,52086263000
2025-03-24,3364.834,3373.694,3340.238,3370.028,51331026000
